question_id,corpus,question,top_k,expected_sources,minimum_source_hits,expected_source_hits,source_hit,expected_source_recall,first_expected_rank,reciprocal_rank,rank1_source,rank1_page,rank1_distance,rank1_preview,rank2_source,rank2_page,rank2_distance,rank2_preview,rank3_source,rank3_page,rank3_distance,rank3_preview
G01,guides,"보증금이 있는 월세집을 계약하려고 합니다. 계약 전에 등기사항증명서와 선순위 권리, 임대인의 체납 세금을 어떻게 확인하고 계약 후에는 언제 전입신고와 확정일자를 받아야 하나요?",3,standard_housing_lease_contract_2023.pdf | housing_lease_protection_guide_2020.pdf,1,2,1,1.0,1,1.0,standard_housing_lease_contract_2023.pdf,4,0.0892,"【대항력 및 우선변제권 확보】 ① 임차인이 주택의 인도와 주민등록을 마친 때에는 그 다음날부터 제3자에게 임차권을 주장할 수 있고, 계약서에 확정일자까지 받으면 후순위권리자나 그 밖의 채권자에 우선하여 변제받을 수 있으며, 주택의 점유와 주민등록은 임대차 기간 중 계속 유지하고 있어야 합니다. ② 등기사항증명서, 미납국세·지방세, 다가구주택 확정일자 현황 등을 반드시 확인하여 선순위 권리자 및 금액을 확인하고 계약 체결여부를 ",housing_lease_protection_guide_2020.pdf,44,0.106947,"44 I 「주택임대차보호법」 해설집 Q1.임대인의 대리인과 계약을 체결하는 경우 Q2. 계약서 없이 이루어진 구두 약정의 효력 - 만일 임대인 본인이 아닌 임대인의 대리인과 계약을 진행할 때에는 위임장과 인감증명서를 확인하여 합니다. - 위임장에는 임차목적물 소재지, 소유자의 성명과 연락처, 계약의 목적, 대리인 이름, 주소, 주민번호, 연월 일 등이 기재되어야 하고, 인감증명서와 관련하여 위임장의 날인과 인감증명서의 날인 그",housing_lease_protection_guide_2020.pdf,4,0.111947,하는 그 규정에 위반하는 약정이라도 임차인에게 불리하지 않은 것은 유 효합니다. 주택을 임차한 외국인이 전입신고에 준하는 체류지 변경신고를 했다면 예 외적으로 「주택임대차보호법」의 보호대상이 됩니다 (「출입국관리법」제88조의2제2항 및 서울민사지방법원 1993. 12. 16. 선고 93가합73367 제11부 판결: 확정)
G02,guides,"처음 임대차계약서를 작성하는데 입주 전 수리, 잔금 지급 다음 날까지 담보권 설정 금지, 계약 종료 후 원상복구 범위 같은 내용은 어떻게 계약서와 특약에 남겨야 하나요?",3,standard_housing_lease_contract_2023.pdf,1,1,1,1.0,1,1.0,standard_housing_lease_contract_2023.pdf,2,0.108898,"② 임차인은 이미 납부한 관리비 중 장기수선충당금을 임대인(소유자인 경우)에게 반환 청구할 수 있다. 다만, 관리사무소 등 관리주체가 장기수선충당금을 정산하는 경우에는 그 관리주체에게 청구할 수 있다. 제11조(분쟁의 해결) 임대인과 임차인은 본 임대차계약과 관련한 분쟁이 발생하는 경우, 당사자 간의 협의 또는 주택임대차분쟁조정위원회의 조정을 통해 호혜적으로 해결하기 위해 노력한다. 제12조(중개보수 등) 중개보수는 거래 가액",housing_lease_protection_guide_2020.pdf,73,0.111767,"6. 작성일 [본조신설 2017. 5. 29.] 제35조(조정결과의 통지) ① 조정위원회는 조정절차가 종 료되면 그 결과를 당사자에게 통지하여야 한다. ② 조정위원회는 법 제26조제4항에 따른 조정서가 작성된 경우 조정서 정본을 지체 없이 당사자에게 교부 또는 송달 하여야 한다. [본조신설 2017. 5. 29.] 부칙 <제29162호, 2018. 9. 18.> 제1조(시행일) 이 영은 공포한 날부터 시행한다. 제2조(소액보증",housing_lease_protection_guide_2020.pdf,50,0.112904,"통지토록 하고 있어 ’무기한 임대차계약‘을 유도하고 있고, - 임대인은 임대차관계 종료에 대하여 정당한 이익이 있는 경우에만 기간의 정함이 없는 임대차 계약의 해지가 가능하도록 하고 있습니다. ✽ (계약해지 사유) 임차인의 계약의무 위반, 임대인의 해당 공간을 자신, 가족의 주거를 위해 필요한 경우, 임대인에게 현저한 불이익이 있는 경우 등 ✽(계약해지 금지사유) 임대료 인상을 위한 계약해지를 명문으로 금지"
G03,guides,"이사업체를 처음 고를 때 방문견적과 계약서에서 무엇을 비교해야 하고, 허가나 피해배상보험 가입 여부는 어떻게 확인하며 짐이 파손되면 어떻게 대응해야 하나요?",3,easylaw_moving_guide_2026.pdf,1,1,1,1.0,1,1.0,easylaw_moving_guide_2026.pdf,3,0.10332,"허가받은이사업체인지꼭확인하세요. 믿을수있는이사업체의선택이야말로이사의가장중요한포인트중하나라고할수있는데요.허가받은 이사업체는허가기준에따라500만원이상의피해배상이행보증보험에가입하고있어이삿짐피해가발생했을때 배상을받기가쉽지만,무허가업체의경우사업자의사업규모,서비스의질적차이를떠나이삿짐의파손, 분실, 도난등의피해발생시그책임소재를규명하기어려워피해보상을받기어려울수있기때문입니다. ※ 이사업체는이삿짐피해가발생한경우손해배상책임을이행하기위하여적재물배상",easylaw_moving_guide_2026.pdf,5,0.122253,"√피해구제및변제방법 이사업체와계약하기 이사업체로부터약관설명및교부받기 이사업체는고객으로부터이사화물의운송을의뢰받는때에는다음의내용을고객이이해할수있도록 설명하고,이사화물약관을고객에게명시하고고객의요구가있을시에는이약관의사본을교부합니다. 다만,계약서의이약관의전부가기재된경우에는계약서의교부로약관사본의교부를대신합니다(「약관의 규제에관한법률」제3조및「이사화물표준약관」제5조제1항). √이사화물약관상규정된계약금,인수거절,계약해제,인도할수없는경우의조치",easylaw_moving_guide_2026.pdf,4,0.125537,"√작업일시, 시간 √부대작업(에어컨탈부착등) 및비용 √그밖의작업여건변화에따른추가비용지급유무 이삿짐의종류및취급확인하기 √귀중품, 고가품, 골동품등의고객별도취급및운송유무확인 √파손유의품의취급확인 √분해, 조립이필요한가구및가전용품의취급및비용확인 대금지불방법확인하기 √잔금지불방법 √계약조건외추가비용및부대작업(에어컨탈부착) 비용지불방법 찾기쉬운생활법령 4 / 6"
G04,guides,"첫 독립을 앞둔 사회초년생입니다. 월급을 기준으로 월세와 생활비 예산을 세울 때 고정지출, 변동지출, 비정기지출과 비상자금을 어떻게 나누어 관리하면 좋을까요?",3,financial_life_guide_young_adults_2026.pdf,1,1,1,1.0,1,1.0,financial_life_guide_young_adults_2026.pdf,18,0.08219,"지출관리를 습관화하면 지출패턴을 파악해 스스로 문제점과 개선방안을 찾을 수 있습니다. 또한 불필요한 지출을 줄이고, 소비행동을 개선하는 데 에도 도움이 됩니다. 1) 지출 유형 이해하기 지출의 유형은 크게 소비지출과 비소비지출로 나눌 수 있습니다. 소비지출은 일상 생활 유지를 위해 지출하는 비목으로, 식비, 의류구입비, 교통비, 통신비 등을 말합 니다. 통계청에서 조사를 할 때는 12대 비목으로 구분합니다. 반면 비소비지출은 ",financial_life_guide_young_adults_2026.pdf,14,0.087964,"소득과 지출관리는 재무설계에서 가장 기본적인 영역입니다. 어디서 얼마의 돈이 들어 오는지, 어디로 얼마의 돈이 나가는지를 정확히 파악해야 자금관리를 합리적으로 할 수 있고, 저축과 투자 계획을 세울 수 있기 때문입니다. 정기적으로 동일한 금액의 월급을 받는 직업도 있고, 소득의 규모와 주기가 불규칙적 인 직업도 있습니다. 지출 중에는 외식비나 여가비용처럼 약간의 노력으로 줄일 수 있는 항목도 있고, 세금이나 사회보험료처럼 자유",financial_life_guide_young_adults_2026.pdf,19,0.089293,"2) 예산수립과 실행 과정 예산을 수립할 때는 다음과 같은 절차를 따르는 것이 좋습니다. 첫째, 근로소득, 사업소득, 재산소득 이전소득 등 예상되는 모든 소득을 파악합니다. 둘째, 기록해 놓 은 지출자료 등을 이용하여 현재의 모든 지출 현황을 파악합니다. 셋째, 현재의 지 출을 바탕으로 항목별 지출액을 예측합니다. 지출항목은 크게 고정지출, 변동지출, 저 축과 투자 로 구분한 후 세부 항목을 분류하는 것 이 좋습니 다 . 넷째"
G05,guides,"전세계약 만료가 다가오는데 묵시적 갱신과 계약갱신요구권은 무엇이 다르고, 계약을 끝내거나 갱신하려면 언제까지 의사를 알려야 하나요?",3,housing_lease_protection_guide_2020.pdf | standard_housing_lease_contract_2023.pdf,1,1,1,0.5,1,1.0,housing_lease_protection_guide_2020.pdf,25,0.088501,"25 개정 관련 FAQ 법 시행 당시 이미 한 주택에서 4년 이상 임차 거주 중인데, 계약갱신요구권을 행사할 수 있 는지?Q6. 행사할 수 있습니다. 개정법률은 최대 4년의 주거를 보장하는 내용이 아 니고, 1회에 한하여 기존의 계약을 2년 연장할 수 있도록 갱신요구권을 부여하는 것입니다. 묵시적 갱신도 갱신요구권 행사로 보는지?Q7. 그렇지 않습니다. 계약이 묵시적으로 갱신된 경우에는 갱신요구권 행사 로 보지 않습니다. 계약",housing_lease_protection_guide_2020.pdf,23,0.089144,"23 개정 관련 FAQ `20.12.10일 이후로 계약갱신요구권 행사 가능기간이 변경된다는데?Q3. 예를 들어, `20.12.10일에 계약이 만료되 는 경우, 계약만료 2개월 전까지 계약갱 신요구권을 행사해야 하는 것인지?Q3-1. 예를 들어, `20.12.10일에 새로운 임대차 계약을 체결하거나 묵시적 갱신되어 계약 만료일이 ‘22.12.10일인 경우. 계약만료 2개월 전까지 계약갱신요구권을 행사해 야 하는 것인지? Q3-2",housing_lease_protection_guide_2020.pdf,22,0.093748,"22 I 「주택임대차보호법」 해설집 1 갱신요구 계약갱신요구권의 행사는 언제부터 할 수 있는지? (Q3 이외의 경우)Q1. 임차인에게 총 몇 회의 계약갱신요구권이 부여되는지?Q2. 예를 들어, ‘20.9.30일에 만료되는 임대차 계약의 경우 언제까지 계약갱신 요구권을 행사할 수 있는지?Q1-1. 임차인은 임대차계약의 임대차기간이 끝나기 6개월 전부터 1개월 전까 지 기간에 계약갱신요구권을 행사할 수 있습니다. 계약갱신요구권은 "
C01,cases,"부산에서 취업이나 진학 때문에 서울 또는 다른 지역으로 이동한 청년들은 지역과 집을 어떤 기준으로 선택했고, 월세 부담이나 일자리 변화 때문에 다시 이동하거나 본가로 돌아간 사례도 있나요?",3,busan_youth_regional_migration_cases_2021.pdf,1,1,1,1.0,1,1.0,busan_youth_regional_migration_cases_2021.pdf,31,0.090316,"열어줬다. 여자들끼리 사는 걸 티내는 게 싫어서 택배송장도 받고는 싹 다 뗐다. 여기 여자 셋이 산다고 주변에도 애써 알리지 않았다. 8) 지역이동 했지만, 타지역으로 재이동계획 (1) 일자리의 다양성 부족 및 임금조건에 따라 전출계획 부산지역 거주 청년, 공통적으로 부산에 일자리가 없다고 인식. 1순위가 직업, 2 순위가 지역으로 임금조건에 따라 언제든지 타지역으로 이동 가능. 고용안정성 높은 공기업 등의 직장 선호로 직장에",busan_youth_regional_migration_cases_2021.pdf,6,0.096129,"코 로 나 19 이 후 부 산 청 년 지 역 이 동 과 젠 더 차 별 158 자료: 통계청, 2020년 국내인구이동 결과 35) <그림 Ⅳ-2 > 2020년 부산 연간 인구이동 전출지 35) 2) 인터뷰 대상 부산청년의 공통 문제 (1) 코로나 19이후 일자리 감소로 수도권으로 지역이동 고려 - 부산에 거주하면서도 서울, 수도권으로 이직해야 하는가 고민이 많음. 지역이 동 했지만, 임금수준에 따라 타지역으로 이동할 계획 있음.",busan_youth_regional_migration_cases_2021.pdf,32,0.099434,"으면 언제든지 부산으로 가고싶다. ⦁ (H) 부산에서 학교를 나왔고 가족들도 부산에 있어서 부산에서 계속 지내고 싶다. ⦁ (I) 현재는 개인의 커리어를 생각하여 수도권으로 이동하게 되었지만, 부산 에서 살았던 약 10년간 좋은 기억을 가지고 있어 추후에 직장 이동을 하게 된다면 부산으로의 이동을 고려해 볼 생각임. 부산이라는 지역은 저에게 20 대를 함께한 지역으로서 저 역시도 부산이라는 지역에 나름의 추억이 가득 한 지역입"
C02,cases,"부모와 함께 살면서 독립을 미루고 있는 청년들은 어떤 이유로 자립을 어렵게 느꼈나요? 가족의 지원, 불안정한 소득과 주거 문제가 독립 결정에 어떤 영향을 주었는지 실제 경험을 알고 싶습니다.",3,transition_to_adulthood_independence_interviews_2022.pdf,1,1,1,1.0,2,0.5,youth_housing_job_access_interviews_2023.pdf,6,0.080843,146 | 청년 사회 첫 출발 실태 및 정책방안 연구 Ⅲ: 시민권과 참여-총괄보고서 독립을 성인기 진입의 주요 관문으로 여긴다는 것은 이 주제를 해결하지 못한 청년들이 많다는 사실을 반영하는 것으로 해석된다. 이들이 생각하는 심리적인 독립은 부모로부터 독립하여 주거하는 주거의 독립을 전제로 하거나 최소한 경제적으로 부모에게 의존하지 않아야 가능하다고 여기고 있었다. 다시 말해 청년들에게 경제적인 독립은 심리적인 독립을 위한 물,transition_to_adulthood_independence_interviews_2022.pdf,8,0.090809,"136 | 청년 사회 첫 출발 실태 및 정책방안 연구 II: 성인 이행기 청년의 자립 풀린 게 많아서 그런 제약에서 벗어나서 법적으로도 그렇고 심리적으로도 그렇고 어느 정도는 되지 않았나 라는 생각이 드는데 완전히 독립하지는 못해서 완전한 성인이라고는 못할 것 같습니다.” (IY, 22세, 여성, 대학생) ③ 완전한 성인 완전한 성인이 되는 것은 나이를 먹어서, 취업을 해서, 주거 독립을 해서 등 매우 다양하 다. 이들은 20",youth_housing_job_access_interviews_2023.pdf,18,0.098961,158 | 청년 사회 첫 출발 실태 및 정책방안 연구 Ⅲ: 시민권과 참여-총괄보고서 그러나 청년주거지원 정책에 관련해서 가장 많이 발견되는 의견은 정책지원 대상의 확대였다. 현재 청년 정책이 전반적으로 청년정책이기 이전에 취약계층 지원정책에 가깝 다는 지적은 주거정책에 대한 의견에서 더욱 뚜렷하게 나타났다. 대부분의 청년주거지원 정책이 정규직이거나 결혼한 청년만 되어도 지원 대상에서 누락되는 기준을 제시하고 있다는 지적이었다.
C03,cases,"혼자 사는 청년들은 실제 생활비를 계산할 때 월세 외에 관리비, 공과금, 식비, 교통비와 비정기지출을 어떻게 고려했고, 구직이나 소득 공백이 생겼을 때 어떤 부담을 겪었나요?",3,youth_one_person_household_living_cost_2022.pdf | youth_one_person_living_risk_interviews_2023.pdf,1,1,1,0.5,1,1.0,youth_one_person_household_living_cost_2022.pdf,2,0.093947,"점은 혼자 살면서도 부모 혹은 형제와도 교류가 없는 청년이 10명 가운데 한명꼴인 셈 이다. 더불어, 생활비 중, 청년 1인 가구는 부모 동거 가구에 비해 생활비 중 주거비의 부 담이 높은 것으로 나타났다. 전체 청년 가구의 월평균 생활비는 303만원이며, 식료품 비 96만원, 연금·보험료 32만원, 교통비 27만원 순으로 나타났다. 1인 가구의 경우, 월평균 생활비는 161만원이며, 식료품비 48만원, 주거비(월세) 22만원",youth_housing_job_access_interviews_2023.pdf,6,0.102537,146 | 청년 사회 첫 출발 실태 및 정책방안 연구 Ⅲ: 시민권과 참여-총괄보고서 독립을 성인기 진입의 주요 관문으로 여긴다는 것은 이 주제를 해결하지 못한 청년들이 많다는 사실을 반영하는 것으로 해석된다. 이들이 생각하는 심리적인 독립은 부모로부터 독립하여 주거하는 주거의 독립을 전제로 하거나 최소한 경제적으로 부모에게 의존하지 않아야 가능하다고 여기고 있었다. 다시 말해 청년들에게 경제적인 독립은 심리적인 독립을 위한 물,youth_housing_job_access_interviews_2023.pdf,21,0.104737,들었고 보기도 봤는데 직접 이용해볼 생각은 안 해봤어요. 그런 게 너무 많아요. 어디에 물어봐 야 다 똑같은 건지 다 른 건지도 구분이 잘 안 되고 각 지자 체마다 청년사이트가 있고 그 걸 통합하는 사이트가 있고 각 프로그램별로 또 사이트가 따로 있잖아요. 그래서 이걸 어느 사이트 에 물어봐야 상담을 해 줄지 혼란스러웠던 것 같아요. 원스톱이라고 하는데 원스톱이 아닌거죠. 응답자9) 이것도 재정이 많이 들어가는 것 같습니다. 
C04,cases,"취업 기회가 많은 수도권의 비싸고 좁은 집과 주거비가 낮은 지방 사이에서 청년들은 어떻게 선택했나요? 월세뿐 아니라 통근시간, 교통비와 원하는 일자리 접근성을 함께 비교한 경험이 궁금합니다.",3,youth_housing_job_access_interviews_2023.pdf,1,1,1,1.0,1,1.0,youth_housing_job_access_interviews_2023.pdf,17,0.091036,Chapter 4. 우리나라 청년의 목소리: 심층면접 | 157 응답자1) 학교 근처에 있던 원룸에 사는 친구들 집에 가보면 사 람 한명이 살 수 있는 공간인가 싶을 정도로 불법으로 방을 많이 만들어서 사 람을 들이려고... (비수도권) 응답자3) 요즈음 청년주택들 지어지는 걸 보면 너무 빽빽하게 마치 감옥처럼 지어지는 것들을 많이 볼 수 있는데...우선순위를 정해서 선택할 수 밖에 없잖아요. 안전하지만 매우 작은 골방 이에요,youth_policy_access_interviews_2026.pdf,13,0.095175,"1) 청년의 일자리와 주거에 대한 인식 심층 인터뷰에 참여한 청년들은 일자리와 주거에 대한 문제를 분리하지 않고 함께 고려하여 결정하는 것으로 파악되었다. 청년이 일자리를 선택하는 데에 있어서 중요한 결정 요인 중 하나는 기존 연구들에서 제시한 것과 같이 본인이 희망하는 분야의 직업과 관련되어 있었다. 그렇지만 청년들은 이와 함께 일자리와 함께 거주지도 고민하는데, 본인이 희망하는 직업과 관련된 일자리를 위해 본래 거주 지역을",youth_housing_job_access_interviews_2023.pdf,21,0.10108,들었고 보기도 봤는데 직접 이용해볼 생각은 안 해봤어요. 그런 게 너무 많아요. 어디에 물어봐 야 다 똑같은 건지 다 른 건지도 구분이 잘 안 되고 각 지자 체마다 청년사이트가 있고 그 걸 통합하는 사이트가 있고 각 프로그램별로 또 사이트가 따로 있잖아요. 그래서 이걸 어느 사이트 에 물어봐야 상담을 해 줄지 혼란스러웠던 것 같아요. 원스톱이라고 하는데 원스톱이 아닌거죠. 응답자9) 이것도 재정이 많이 들어가는 것 같습니다. 
C05,cases,"지원정책을 잘 모르던 청년들은 실제로 어디서 정책 정보를 처음 알게 되었고, 홈페이지나 신청 과정에서 무엇이 헷갈려 포기하거나 어려움을 겪었나요? 지인이나 담당자의 도움을 받은 경험도 알고 싶습니다.",3,youth_policy_access_interviews_2026.pdf,1,1,1,1.0,1,1.0,youth_policy_access_interviews_2026.pdf,17,0.08191,“좀 헷갈리는 부분은 있었어요. 이 사업이 이 사업인 건지 그 어떤 정보를 얻고 싶어서 인터넷을 이 찾고 있는데 이게 이제 본 홈페이지에 들어가야 하는 건 아니면 여기서 따로 운영하고 카페나 이런 곳에 들어가야 하는 건지 그런 게 조금 헷갈렸어요.”(청년A) “만약에 아예 모르는 상태에서 이런 지원을 받고 싶다 하면은 안내 전화번호에 전화를 해봤을 것 같아요.”(청년B)“내용을 깊게 아는 경우가 그 분야를 엄청 찾아보지 않는 ,youth_one_person_living_risk_interviews_2023.pdf,52,0.091819,"청년 대상 정책 지원 경험 여부(공통) - 지원하지 않은 이유: 홍보 부족, 지원 자격 미달“소득 분위가 해당이 안 되는 경우가 많아서 점점 알아보는 걸 멀리하게 된 것 같아요.”(응답자5: 만 19세~24세, 여성, 주관적 계층의식 상층)“제 게 아니라는 생각이 많이 들었던 것 같아요. 차상위 계층이나 기초생활 수급자 같은 분들을 이제 1순위로 두고 진행하는 정책들이 많다고 느껴졌고, 저는 사실 맘만 먹으면 저곳이 아니더라도",youth_policy_access_interviews_2026.pdf,16,0.09366,"- 59 - 4) 현재 청년 정책사업의 소통 방식에 대한 평가 심층 인터뷰에 참여한 청년들은 현재의 청년 정책사업과 관련된 소통방식에 대해 다소 불편한 점이 있는 것으로 파악되었다. 먼저는 소통 채널의 접근성이 낮은 것으로 인식하였다. 청년들은 본인의 취업과 관련하여 문제를 인식하였을 때 포털사이트나 취업과 관련된 전문 웹 페이지(예: 사람인, 잡코리아 등)을 이용하지만, 일자리나 취창업과 관련된 청년 정책사업과 관련된 공공기"
