question_id,corpus,question,keyword_queries,top_k,expected_sources,minimum_source_hits,expected_source_hits,source_hit,expected_source_recall,first_expected_rank,reciprocal_rank,rank1_source,rank1_page,rank1_rrf_score,rank1_best_bm25_score,rank1_matched_queries,rank1_preview,rank2_source,rank2_page,rank2_rrf_score,rank2_best_bm25_score,rank2_matched_queries,rank2_preview,rank3_source,rank3_page,rank3_rrf_score,rank3_best_bm25_score,rank3_matched_queries,rank3_preview
G01,guides,월세 계약의 권리관계와 보증금 보호,주택임대차표준계약서 등기사항증명서 선순위 권리 미납 세금 특약 || 주택임대차보호법 전입신고 확정일자 우선변제권,3,standard_housing_lease_contract_2023.pdf | housing_lease_protection_guide_2020.pdf,1,1,1,0.5,1,1.0,standard_housing_lease_contract_2023.pdf,1,0.03278689,21.701612,주택임대차표준계약서 등기사항증명서 선순위 권리 미납 세금 특약 || 주택임대차보호법 전입신고 확정일자 우선변제권,"-1/4- 주택임대차표준계약서 제2조(임대차기간) 임대인은 임차주택을 임대차 목적대로 사용‧수익할 수 있는 상태로 년 월 일까지 임차인에게 인도하고, 임대차기간은 인도일로부터 년 월 일까지로 한다. 제3조(입주 전 수리) 임대인과 임차인은 임차주택의 수리가 필요한 시설물 및 비용부담에 관하여 다음과 같이 합의한다.수리 필요 시설□ 없음 □ 있음(수리할 내용: )수리 완료 시기 □ 잔금지급 기일인 년 월 일까지 □ 기타 ( )약",standard_housing_lease_contract_2023.pdf,1,0.03225806,21.701612,주택임대차표준계약서 등기사항증명서 선순위 권리 미납 세금 특약 || 주택임대차보호법 전입신고 확정일자 우선변제권,[임차주택의 표시]임대인(이름 또는 법인명 기재)과 임차인(이름 또는 법인명 기재)은 아래와 같이 임대차 계약을 체결한다소 재 지 (도로명주소)토 지지목 면적 ㎡건 물구조‧용도 면적 ㎡임차할부분 상 세 주 소 가 있 는 경 우 동‧층‧호 정 확 히 기 재면적 ㎡계약의종류 q 신규 계약 q 합의에 의한 재계약 q ｢주택임대차보호법｣ 제6조의3의 계약갱신요구권 행사에 의한 갱신계약 * 갱신 전 임대차계약 기간 및 금액 계약 기간:,standard_housing_lease_contract_2023.pdf,1,0.03174603,21.701612,주택임대차표준계약서 등기사항증명서 선순위 권리 미납 세금 특약 || 주택임대차보호법 전입신고 확정일자 우선변제권,□ 없음(임대인 서명 또는 날인 ) □ 있음(중개대상물 확인‧설명서 제2쪽 Ⅱ. 개업공인중 개사 세부 확 인사항 ‘⑨ 실제 권 리관계 또 는 공시되 지 않은 물건의 권리사항’에 기재) □ 해당 없음 (임대인 서명 또는 날인 ) □ 해당 있음(중개대상물 확인‧설명서 제2쪽 Ⅱ.개업공인 중개사 세부 확인 사항 ‘⑨ 실제 권 리관계 또 는 공시되지 않은 물건의 권리사항’에 기재)[계약내용]제1조(보증금과 차임 및 관리비) 위 부
G02,guides,임대차계약 수리·담보권·원상복구 특약,주택임대차표준계약서 입주 전 수리 담보권 설정 금지 원상복구 특약,3,standard_housing_lease_contract_2023.pdf,1,1,1,1.0,1,1.0,standard_housing_lease_contract_2023.pdf,1,0.01639344,32.552418,주택임대차표준계약서 입주 전 수리 담보권 설정 금지 원상복구 특약,"-1/4- 주택임대차표준계약서 제2조(임대차기간) 임대인은 임차주택을 임대차 목적대로 사용‧수익할 수 있는 상태로 년 월 일까지 임차인에게 인도하고, 임대차기간은 인도일로부터 년 월 일까지로 한다. 제3조(입주 전 수리) 임대인과 임차인은 임차주택의 수리가 필요한 시설물 및 비용부담에 관하여 다음과 같이 합의한다.수리 필요 시설□ 없음 □ 있음(수리할 내용: )수리 완료 시기 □ 잔금지급 기일인 년 월 일까지 □ 기타 ( )약",standard_housing_lease_contract_2023.pdf,1,0.01612903,32.552418,주택임대차표준계약서 입주 전 수리 담보권 설정 금지 원상복구 특약,[임차주택의 표시]임대인(이름 또는 법인명 기재)과 임차인(이름 또는 법인명 기재)은 아래와 같이 임대차 계약을 체결한다소 재 지 (도로명주소)토 지지목 면적 ㎡건 물구조‧용도 면적 ㎡임차할부분 상 세 주 소 가 있 는 경 우 동‧층‧호 정 확 히 기 재면적 ㎡계약의종류 q 신규 계약 q 합의에 의한 재계약 q ｢주택임대차보호법｣ 제6조의3의 계약갱신요구권 행사에 의한 갱신계약 * 갱신 전 임대차계약 기간 및 금액 계약 기간:,standard_housing_lease_contract_2023.pdf,1,0.01587302,32.552418,주택임대차표준계약서 입주 전 수리 담보권 설정 금지 원상복구 특약,□ 없음(임대인 서명 또는 날인 ) □ 있음(중개대상물 확인‧설명서 제2쪽 Ⅱ. 개업공인중 개사 세부 확 인사항 ‘⑨ 실제 권 리관계 또 는 공시되 지 않은 물건의 권리사항’에 기재) □ 해당 없음 (임대인 서명 또는 날인 ) □ 해당 있음(중개대상물 확인‧설명서 제2쪽 Ⅱ.개업공인 중개사 세부 확인 사항 ‘⑨ 실제 권 리관계 또 는 공시되지 않은 물건의 권리사항’에 기재)[계약내용]제1조(보증금과 차임 및 관리비) 위 부
G03,guides,이사업체 견적·허가·보험·파손 대응,이사업체 방문견적 견적서 비교 || 이사업체 허가 피해배상보험 적재물배상보험 || 이삿짐 파손 분실 손해배상,3,easylaw_moving_guide_2026.pdf,1,1,1,1.0,1,1.0,easylaw_moving_guide_2026.pdf,1,0.04918033,37.72003,이사업체 방문견적 견적서 비교 || 이사업체 허가 피해배상보험 적재물배상보험 || 이삿짐 파손 분실 손해배상,이사 - 이사하기 - 이사하기 - 이사업체 정하기,easylaw_moving_guide_2026.pdf,2,0.0483871,37.72003,이사업체 방문견적 견적서 비교 || 이사업체 허가 피해배상보험 적재물배상보험 || 이삿짐 파손 분실 손해배상,"이정보는 2026년 7월 15일기준으로작성된것입니다. 찾기쉬운생활법령정보는국민이실생활에필요한법령을쉽게찾아보고이해할수있도록관련법령정보를국민의 생활중심으로재분류하여제공하고있습니다. 따라서제공된법령정보는법적효력을갖는유권해석(결정, 판단)의 근거가되지않고, 각종신고, 불복청구등의증거자료로서의효력은없습니다. 구체적인법령에대한질의는 담당기관이나국민신문고에문의하시기바랍니다. 공공데이터정책에따라‘찾기쉬운생활법령정보’에서제공하는생활법령정보는누",easylaw_moving_guide_2026.pdf,2,0.04761905,37.72003,이사업체 방문견적 견적서 비교 || 이사업체 허가 피해배상보험 적재물배상보험 || 이삿짐 파손 분실 손해배상,"포장이사및보관이사가있습니다(「이사화물표준약관」제2조제2항). 구분 내용 일반이사 이사하려는사람이이사화물의포장과정리를맡고이사업체는이사화물의운송만을 맡아서하는이사 포장이사 이사하려는사람이이사화물의포장과정리를이사업체에의뢰하여이사업체가 이사화물의포장, 운송, 정리를모두맡아서하는이사 보관이사 일반이사또는포장이사를하는경우에이사업체가고객의의뢰에따라이사화물을 일정기간보관한후에인도하는이사 이사비용은어떻게책정되나요? 이사비용은운송거리,이사물량,"
G04,guides,사회초년생 월 생활비 예산,사회초년생 금융생활 월 생활비 고정지출 변동지출 비정기지출 비상자금 예산,3,financial_life_guide_young_adults_2026.pdf,1,1,1,1.0,1,1.0,financial_life_guide_young_adults_2026.pdf,1,0.01639344,25.428766,사회초년생 금융생활 월 생활비 고정지출 변동지출 비정기지출 비상자금 예산,1 사회 똑똑하게 20대에 꼭! 필요한 금융생활 가이드북 첫걸음부터 2026 생애주기1권-20대 사회첫걸음_4교.indd 12026 생애주기1권-20대 사회첫걸음_4교.indd 1 2026. 1. 9. 오전 11:102026. 1. 9. 오전 11:10,financial_life_guide_young_adults_2026.pdf,2,0.01612903,25.428766,사회초년생 금융생활 월 생활비 고정지출 변동지출 비정기지출 비상자금 예산,"경 제환경과 금융시 장이 급변하고, 투자대 안과 금융상품이 복잡, 다양해지 면서 금융의사 결정이 점점 더 어려워지고 있습니다. 디지털 신기술의 발전에 따라 금융산업의 구조가 변화 되었고, 금융의 디지털 전환은 지속적으로 고도화될 것입니다. 또한 초고령사회에 진입한 우 리나라의 인구구조는 경제 및 금융환경을 변화시킬 것입니다. 경제, 기술, 사회환경의 변화 는 금융소비자에게 다양한 편익을 제공하지만, 금융회사와 금융소비자 간의 ",financial_life_guide_young_adults_2026.pdf,2,0.01587302,25.428766,사회초년생 금융생활 월 생활비 고정지출 변동지출 비정기지출 비상자금 예산,"있는 금융역량이 필요합니다. 머리말 이에 금융감독원은 성인의 금융역량 증진 방법을 고민해 왔고, 생애주기별 금융교육을 제 안했습니다. 각 생애주기별 금융교육을 체계적으로 수립한 『생애주기별 금융교육 가이드라 인』을 마련하였고, 이에 기초하여 『생애주기별 금융생활 가이드북』을 개발하였습니다. 총 5 권으로 구성된 『생애주기별 금융생활 가이드북』은 각 연령대에 속한 금융소비자들이 쉽게 이해하고 활용할 수 있는 정보들을 담았습니다."
G05,guides,묵시적 갱신과 계약갱신요구권,주택임대차보호법 묵시적 갱신 계약갱신요구권 통지 기간 || 주택임대차표준계약서 계약 종료 갱신 해지,3,housing_lease_protection_guide_2020.pdf | standard_housing_lease_contract_2023.pdf,1,2,1,1.0,1,1.0,standard_housing_lease_contract_2023.pdf,1,0.03225806,21.514513,주택임대차보호법 묵시적 갱신 계약갱신요구권 통지 기간 || 주택임대차표준계약서 계약 종료 갱신 해지,[임차주택의 표시]임대인(이름 또는 법인명 기재)과 임차인(이름 또는 법인명 기재)은 아래와 같이 임대차 계약을 체결한다소 재 지 (도로명주소)토 지지목 면적 ㎡건 물구조‧용도 면적 ㎡임차할부분 상 세 주 소 가 있 는 경 우 동‧층‧호 정 확 히 기 재면적 ㎡계약의종류 q 신규 계약 q 합의에 의한 재계약 q ｢주택임대차보호법｣ 제6조의3의 계약갱신요구권 행사에 의한 갱신계약 * 갱신 전 임대차계약 기간 및 금액 계약 기간:,housing_lease_protection_guide_2020.pdf,25,0.01639344,12.107302,주택임대차보호법 묵시적 갱신 계약갱신요구권 통지 기간,"25 개정 관련 FAQ 법 시행 당시 이미 한 주택에서 4년 이상 임차 거주 중인데, 계약갱신요구권을 행사할 수 있 는지?Q6. 행사할 수 있습니다. 개정법률은 최대 4년의 주거를 보장하는 내용이 아 니고, 1회에 한하여 기존의 계약을 2년 연장할 수 있도록 갱신요구권을 부여하는 것입니다. 묵시적 갱신도 갱신요구권 행사로 보는지?Q7. 그렇지 않습니다. 계약이 묵시적으로 갱신된 경우에는 갱신요구권 행사 로 보지 않습니다. 계약",standard_housing_lease_contract_2023.pdf,1,0.01639344,21.514513,주택임대차표준계약서 계약 종료 갱신 해지,"-1/4- 주택임대차표준계약서 제2조(임대차기간) 임대인은 임차주택을 임대차 목적대로 사용‧수익할 수 있는 상태로 년 월 일까지 임차인에게 인도하고, 임대차기간은 인도일로부터 년 월 일까지로 한다. 제3조(입주 전 수리) 임대인과 임차인은 임차주택의 수리가 필요한 시설물 및 비용부담에 관하여 다음과 같이 합의한다.수리 필요 시설□ 없음 □ 있음(수리할 내용: )수리 완료 시기 □ 잔금지급 기일인 년 월 일까지 □ 기타 ( )약"
C01,cases,취업·진학 지역이동과 본가 복귀 사례,부산 청년 취업 진학 지역이동 월세 부담 재이동 본가 복귀 사례,3,busan_youth_regional_migration_cases_2021.pdf,1,1,1,1.0,1,1.0,busan_youth_regional_migration_cases_2021.pdf,1,0.01639344,39.280106,부산 청년 취업 진학 지역이동 월세 부담 재이동 본가 복귀 사례,"04 코 로 나 19 이 후 지 역 이 동 한 부 산 청 년 들 심 층 인 터 뷰 153 제 4 장 코로나19 이후 지역이동한 부산청년들 심층인터뷰 코로나 19 이후 지역이동한 부산 청년들을 대상으로한 심층인터뷰(IDI)33)는 코로 나 19가 시작한 2020년 1월 이후 부산에서 타지로 전출하거나, 부산으로 전입한 청년들의 일대일 심층 인터뷰임. 이 인터뷰를 통해 부산광역시 산업구조와 젠더 차 별이 부산 청년이동에 미치는 영",busan_youth_regional_migration_cases_2021.pdf,1,0.01612903,39.280106,부산 청년 취업 진학 지역이동 월세 부담 재이동 본가 복귀 사례,"적인 반응까지 유도할 수 있다는 장점이 있다. 심층 인터뷰는 사람들의 심리와 동기, 의식을 알아보 고자 할 때, 남들 앞에서 터놓고 이야기하기 어려운 주제에 주로 사용된다. (CONDUCTING IN-DEPTH INTERVIEWS:A Guide for Designing and Conducting In-Depth Interviewsfor Evaluation Input, Carolyn Boyce, Pathfinder INTERNA",busan_youth_regional_migration_cases_2021.pdf,2,0.01587302,39.280106,부산 청년 취업 진학 지역이동 월세 부담 재이동 본가 복귀 사례,코 로 나 19 이 후 부 산 청 년 지 역 이 동 과 젠 더 차 별 154 탈부산을 가속화 켰는가 뿐만 아니라 저성장 산업구조속에서 부산청년이 일자리 를 쉽게 구할 수 없음이 코로나19의 펜데믹 상황과 관계가 있는가 하는데 물음에 답변할 적합한 대상자를 찾기가 쉽지 않았음. 특히 지역사회에서 젠더차별을 겪 었는가 하는 질문에 적합한 여성 청년뿐만 아니라 남성청년도 구해야 했기에 연 구참여자를 구하는 일이 쉽지 않았음. 연구자
C02,cases,부모 동거 청년의 독립 지연 사례,성인 이행기 청년 자립 독립 지연 부모 동거 가족 지원 불안정 소득 주거,3,transition_to_adulthood_independence_interviews_2022.pdf,1,1,1,1.0,1,1.0,transition_to_adulthood_independence_interviews_2022.pdf,1,0.01639344,84.219894,성인 이행기 청년 자립 독립 지연 부모 동거 가족 지원 불안정 소득 주거,"Chapter 4. 성인 이행기 청년의 자립에 대한 당사자들의 목소리 | 129 4 성인 이행기 청년의 자립에 대한 당사자들의 목소리15),16) 1. 개요 이 장의 목적은 청년들의 자립의 경험, 인식, 어려움, 정책욕구 등을 청년들의 목소리를 통해 알아보는 것이다. 양적연구에서 파악하지 못하는 정보를 심층적으로 알아보기 위하 여 청년 당사자 면접조사를 시행하여 시사점을 도출하고 정책제언의 근거자료로 활용하 였다. 1) 면접조",transition_to_adulthood_independence_interviews_2022.pdf,2,0.01612903,84.219894,성인 이행기 청년 자립 독립 지연 부모 동거 가족 지원 불안정 소득 주거,"130 | 청년 사회 첫 출발 실태 및 정책방안 연구 II: 성인 이행기 청년의 자립 주요 요소 내 용 면담참여자 수  총 24명 면담방식 (공식성 정도, 구조화 정도, 개별 혹은 집단면담)  반구조화된 면접방식  개별면담 & 초점집단면접 면담장소  온라인 줌(Zoom) 회의실 면담 시간 및 횟수  개별면접 1인당 90분씩 진행 1~2회 (일부 참여자의 경우 2회 이상 면접하기도 하였음)  초점집단면접 1그룹 당 9",transition_to_adulthood_independence_interviews_2022.pdf,3,0.01587302,84.219894,성인 이행기 청년 자립 독립 지연 부모 동거 가족 지원 불안정 소득 주거,"Chapter 4. 성인 이행기 청년의 자립에 대한 당사자들의 목소리 | 131 현재 자립 상태가 어떠한지, 향후 자립 전망 및 욕구가 어떠한지에 대해 조사하였다. 청년 들은 공통적으로 자신들의 성인이 되었다는 인식이 어떠한지, 자신의 사회경제학적 배경 을 가진 청년이 향후 자립할 수 있을지에 대해 응답하도록 하였다. 이와 함께 청년 활동가 들에게는 추가적으로 자립 지원 서비스의 특성을 소개하고, 자립지원의 사례에서 성공적 사"
C03,cases,1인 가구 생활비와 소득 공백 사례,청년 1인 가구 생활비 월세 관리비 공과금 식비 교통비 || 청년 구직 소득 공백 경제적 위험 생활비 부담,3,youth_one_person_household_living_cost_2022.pdf | youth_one_person_living_risk_interviews_2023.pdf,1,2,1,1.0,1,1.0,youth_one_person_household_living_cost_2022.pdf,1,0.03278689,77.57565,청년 1인 가구 생활비 월세 관리비 공과금 식비 교통비 || 청년 구직 소득 공백 경제적 위험 생활비 부담,"410 2022년 청년 삶 실태조사 다음으로 생활비 중, 1인 가구 청년은 부모 동거 가구에 비해 생활비 중 주거비의 부 담이 높은 것으로 나타났다. 전체 청년가구의 월평균 생활비는 303만원이며, 식료품비 96만원, 연금·보험료 32만원, 교통비 27만원 순으로 나타났다. 1인 가구의 경우, 월평 균 생활비는 161만원이며, 식료품비 48만원, 주거비(월세) 22만원 순으로 주거비(월 세)에 대한 부담이 상대적으로 높은 것으",youth_one_person_living_risk_interviews_2023.pdf,1,0.03076923,23.144377,청년 1인 가구 생활비 월세 관리비 공과금 식비 교통비 || 청년 구직 소득 공백 경제적 위험 생활비 부담,"Chapter 6. 청년 빈곤의식 심층면담: 건강 및 사회･문화자본을 중심으로 | 317 6청년 빈곤의식 심층면담: 건강 및 사회･문화자본을 중심으로64) 1. 면담조사 개요본 연구에서는 청년의 다차원적 빈곤 실태 중 신체적･정신적 건강 및 사회･문화자본에 관한 실태를 심층적으로 파악하기 위해 청년 당사자를 대상으로 한 심층 면담조사를 실시하였다. 이를 위해, 성별, 연령, 거주지역, 경제활동 유형 등 다양한 배경요인을 고려하",youth_one_person_household_living_cost_2022.pdf,1,0.03225806,77.57565,청년 1인 가구 생활비 월세 관리비 공과금 식비 교통비 || 청년 구직 소득 공백 경제적 위험 생활비 부담,5) 모든 결과값은 소수점 이하 한 자리 기준으로 반올림하여 작성했으므로 전체 합과 일치하지 않을 수 있음. 자료: 국무조정실·한국보건사회연구원(2022). 청년 삶 실태조사. 원자료 분석. 〈표 3-9-23> 1인 가구 청년의 월평균 생활비 2. 소결 이 절에서는 1인 가구에 속하는 청년의 주요 삶의 실태를 살펴봤다. 1인 가구에 속 하는 청년의 비율(22.6%)은 부모와 미혼 청년이 함께 사는 청년 가구에 속하는 청년의 비
C04,cases,주거비와 일자리 접근성 선택 사례,청년 수도권 지방 주거비 통근시간 교통비 일자리 접근성 주거 선택 면접,3,youth_housing_job_access_interviews_2023.pdf,1,1,1,1.0,1,1.0,youth_housing_job_access_interviews_2023.pdf,1,0.01639344,62.44725,청년 수도권 지방 주거비 통근시간 교통비 일자리 접근성 주거 선택 면접,Chapter 4. 우리나라 청년의 목소리: 심층면접 | 141 4 우리나라 청년의 목소리: 심층면접5) 1. 청년 심층면접 개요 본 연구에서는 청년 참여와 권리에 대한 정책적 시사점을 도출하기 위해 올해 연구의 조사영역인 청년들의 시민권 의식과 현황에 대한 심층 면담을 실시하고자 한다. 구체적으 로 사회 참여 활동을 하고 있거나 그 외 다양한 상태에 있는 15명의 청년을 대상으로 청년들이 시민권에 대해 가지고 있는 가치관과 ,youth_housing_job_access_interviews_2023.pdf,2,0.01612903,62.44725,청년 수도권 지방 주거비 통근시간 교통비 일자리 접근성 주거 선택 면접,"142 | 청년 사회 첫 출발 실태 및 정책방안 연구 Ⅲ: 시민권과 참여-총괄보고서 계 19세, 20대 (9명) 30대 (9명) 남성 여성 남성 여성 전 체 1 8 4554 수 도 권 1 0 2332 비 수 도 권 8 2222 표 Ⅳ-1. 청년 권리와 참여 심층면접조사 표본 구성(명) 2) 심층면접조사의 내용 청년 참여와 권리에 대한 심층면접조사 내용은 면접 참여자들 개개인의 1) 성인기 진입 상황과 시민권에 대한 인식, 2)",youth_housing_job_access_interviews_2023.pdf,3,0.01587302,62.44725,청년 수도권 지방 주거비 통근시간 교통비 일자리 접근성 주거 선택 면접,"Chapter 4. 우리나라 청년의 목소리: 심층면접 | 143 3) 심층면접조사 절차 및 분석방법 심층면담을 위한 조사지는 병행 실시하는 양적 연구의 설문조사 내용을 바탕으로 하되, 세부적인 조사가 필요하다고 판단되는 내용을 중심으로 초안을 개발했다. 초안은 심층면 접 표준 가이드라인의 형식으로 작성했다. 초기 설정한 가이드라인을 연구진 협의를 토대 로 수정･보완한 후, 청년 권리와 참여 분야의 전문가를 대상으로 자문을 받아"
C05,cases,정책정보 탐색과 신청 장벽 사례,청년 정책정보 접근 홈페이지 담당자 도움 신청 장벽 신청 포기 면접,3,youth_policy_access_interviews_2026.pdf,1,1,1,1.0,1,1.0,youth_policy_access_interviews_2026.pdf,1,0.01639344,67.52547,청년 정책정보 접근 홈페이지 담당자 도움 신청 장벽 신청 포기 면접,- 44 -,youth_policy_access_interviews_2026.pdf,1,0.01612903,67.52547,청년 정책정보 접근 홈페이지 담당자 도움 신청 장벽 신청 포기 면접,2. 청년지원 정책에 대한 실무자 및 청년 심층 인터뷰가. 연구 방법 본 연구의 목적은 충남 청년지원정책 신청률 제고를 위한 개선 방안을 마련하는 것이다. 이를 위해 현재 충남도에서 실행하고 있는 청년지원 정책에 대한 상황 이해와 정성적 진단을 위해 실무자와 수혜대상인 청년과 일대일 심층 인터뷰(In-depth interview)를 진행하였다. 실무자를 대상으로 진행된 심층 인터뷰에서는 현재 실행되고 있는 청년정책 사업의 내용,youth_policy_access_interviews_2026.pdf,1,0.01587302,67.52547,청년 정책정보 접근 홈페이지 담당자 도움 신청 장벽 신청 포기 면접,최종적으로 심층 인터뷰는 실무자 6명과 청년지원사업에 참여한 4명의 청년을 대상으로 진행되었다. <표3-7>심층인터뷰참여자(실무자)참여자소속담당정책사업분야실무자A충남도청청년정책과지역착근형프로그램청년주책임차보증금대출이자지원교육주거실무자B충남도청청년정책과지역균형발전청년고용사업일자리실무자C충남일자리진흥원지역주도청년일자리사업일자리실무자D충남일자리진흥원일자리소통공간잡카페일자리실무자E청양군지역활성화재단지역착근형프로그램교육실무자F천안YMC
