question_id,corpus,question,top_k,expected_sources,minimum_source_hits,expected_source_hits,source_hit,expected_source_recall,first_expected_rank,reciprocal_rank,rank1_source,rank1_page,rank1_bm25_score,rank1_preview,rank2_source,rank2_page,rank2_bm25_score,rank2_preview,rank3_source,rank3_page,rank3_bm25_score,rank3_preview
G01,guides,"보증금이 있는 월세집을 계약하려고 합니다. 계약 전에 등기사항증명서와 선순위 권리, 임대인의 체납 세금을 어떻게 확인하고 계약 후에는 언제 전입신고와 확정일자를 받아야 하나요?",3,standard_housing_lease_contract_2023.pdf | housing_lease_protection_guide_2020.pdf,1,2,1,1.0,1,1.0,standard_housing_lease_contract_2023.pdf,4,21.929403,"< 계약기간 중 꼭 확인하세요 > < 계약 체결 시 꼭 확인하세요 > 【보증금액 증액시 확정일자 날인】 계약기간 중 보증금을 증액하거나, 재계약 또는 계약갱신 과정에서 보증금을 증액한 경우에는 증액된 보증금액에 대한 우선변제권을 확보하기 위하여 반드시 다시 확정일자를 받아야 합니다.< 계약종료 시 꼭 확인하세요 >",standard_housing_lease_contract_2023.pdf,4,18.153105,"【대항력 및 우선변제권 확보】 ① 임차인이 주택의 인도와 주민등록을 마친 때에는 그 다음날부터 제3자에게 임차권을 주장할 수 있고, 계약서에 확정일자까지 받으면 후순위권리자나 그 밖의 채권자에 우선하여 변제받을 수 있으며, 주택의 점유와 주민등록은 임대차 기간 중 계속 유지하고 있어야 합니다. ② 등기사항증명서, 미납국세·지방세, 다가구주택 확정일자 현황 등을 반드시 확인하여 선순위 권리자 및 금액을 확인하고 계약 체결여부를 ",housing_lease_protection_guide_2020.pdf,51,13.694189,"51 해외 주요국의 임차인 보호제도 집주인의 권리 보호 기존의 보증 단기임대차에서 자유임대차로 전환 임대계약 기간 중 세입자의 과실로 퇴거 조치가 내려져도 실제 퇴거까지는 상당한 시간이 소요되기 때문에 대부분 집주인이 비과실 퇴거 조항을 활용 해 2개월 전에 퇴거를 통지하는 편 임차인은 자신이 원하고 필요한 만큼 임대차 계약을 유지하되, 집주인이 다 음 세입자를 구하는 기간을 최소화할 수 있도록 계약 종료 시 사전에 집주 인과"
G02,guides,"처음 임대차계약서를 작성하는데 입주 전 수리, 잔금 지급 다음 날까지 담보권 설정 금지, 계약 종료 후 원상복구 범위 같은 내용은 어떻게 계약서와 특약에 남겨야 하나요?",3,standard_housing_lease_contract_2023.pdf,1,1,1,1.0,1,1.0,standard_housing_lease_contract_2023.pdf,1,16.1429,"-1/4- 주택임대차표준계약서 제2조(임대차기간) 임대인은 임차주택을 임대차 목적대로 사용‧수익할 수 있는 상태로 년 월 일까지 임차인에게 인도하고, 임대차기간은 인도일로부터 년 월 일까지로 한다. 제3조(입주 전 수리) 임대인과 임차인은 임차주택의 수리가 필요한 시설물 및 비용부담에 관하여 다음과 같이 합의한다.수리 필요 시설□ 없음 □ 있음(수리할 내용: )수리 완료 시기 □ 잔금지급 기일인 년 월 일까지 □ 기타 ( )약",standard_housing_lease_contract_2023.pdf,2,11.658239,"제4조(임차주택의 사용·관리·수선) ① 임차인은 임대인의 동의 없이 임차주택의 구조변경 및 전대나 임차권 양도를 할 수 없으며, 임대차 목적인 주거 이외의 용도로 사용할 수 없다. ② 임대인은 계약 존속 중 임차주택을 사용·수익에 필요한 상태로 유지하여야 하고, 임차인은 임대인이 임차주택의 보존에 필요한 행위를 하는 때 이를 거절하지 못한다. ③ 임대인과 임차인은 계약 존속 중에 발생하는 임차주택의 수리 및 비용부담에 관하여 ",housing_lease_protection_guide_2020.pdf,54,10.687852,"54 I 「주택임대차보호법」 해설집 빈집 자유 임대료 폐지 기존에는 렌트비가 2774.76불 도달 후 빈집이 되는 경우 신규 세입자에게 시장가격으로 렌트비가 부과되었는데 이를 폐지함 시설물 수리 후 임대료 인상 허용 폐지 선호 임대료 영구화 기타 일몰 폐지 등 수리비용 등 주요 자본적 지출이나 개별 수선을 통해 임대료를 인상시킬 수 있었으나, 이에 따른 임대료 인상에 일정 한도를 부과 세입자들을 끌어들이기 위해 임대료를 매우 "
G03,guides,"이사업체를 처음 고를 때 방문견적과 계약서에서 무엇을 비교해야 하고, 허가나 피해배상보험 가입 여부는 어떻게 확인하며 짐이 파손되면 어떻게 대응해야 하나요?",3,easylaw_moving_guide_2026.pdf,1,0,0,0.0,,0.0,financial_life_guide_young_adults_2026.pdf,12,9.917335,"현금흐름표를 통해 소득원천이 적절한지, 생활비가 적절하게 지출되고 있는지, 개 선 할 사항은 없 는 지 , 추 가 적 인 저 축 , 투자 여 력 이 있 는 지 등을 파악할 수 있 습 니 다 . 다음 사항을 체크해 보세요 총소득에서 총지출(고정지출+변동지출)이 차지하는 비중은 적당한가? 소득의 원천은 다양하고, 소득 규모는 적절한가? 고정지출과 변동지출 항목별 금액은 적절한가? 줄일 수 있는 항목은 무엇이 있는가? 총소득 대비 ",financial_life_guide_young_adults_2026.pdf,18,9.461154,"2) 지출기록 습관화하기 지출관리를 잘 할 수 있는 방법은 무엇일까요? 우선 어디에 어떻게 얼마나 지출 을 하고 있는지를 파악하는 것이 필요합니다. 그러기 위해서 매일 매일의 지출내역 을 꼼꼼히 기록하는 것이 중요한데요. 일관된 형식으로 정확하고 상세하게 기록해야 합니다. 그러나 꾸준히 꼼꼼히 기록하는 것이 쉽지 않으므로, 엑셀 프로그램이나 스마트 폰 지출관리(가계부)앱, 은행 등 금융회사에서 제공하는 지출관리 서비스(모바일앱",housing_lease_protection_guide_2020.pdf,27,8.929749,"27 개정 관련 FAQ 임대차 계약을 최초에 체결할 때, 계약기간 을 1년으로 했는데, 1년 이상 거주하고 싶 을 때에는 어떻게 해야하는지?Q12. 계약갱신요구권 행사 시 임차인은 무조건 2년을 거주해야 하는지?Q11. 2년 미만으로 정한 임대차기간은 그 기간을 2년으로 보므로, 계약기간을 1년으로 정했어도 임대차기간 2년이 법에 의해 보장됩니다. 그렇지 않습니다. 계약갱신요구권 행사에 따라 갱신되는 임대차의 존속 기간은 2년"
G04,guides,"첫 독립을 앞둔 사회초년생입니다. 월급을 기준으로 월세와 생활비 예산을 세울 때 고정지출, 변동지출, 비정기지출과 비상자금을 어떻게 나누어 관리하면 좋을까요?",3,financial_life_guide_young_adults_2026.pdf,1,1,1,1.0,1,1.0,financial_life_guide_young_adults_2026.pdf,12,19.555447,"현금흐름표를 통해 소득원천이 적절한지, 생활비가 적절하게 지출되고 있는지, 개 선 할 사항은 없 는 지 , 추 가 적 인 저 축 , 투자 여 력 이 있 는 지 등을 파악할 수 있 습 니 다 . 다음 사항을 체크해 보세요 총소득에서 총지출(고정지출+변동지출)이 차지하는 비중은 적당한가? 소득의 원천은 다양하고, 소득 규모는 적절한가? 고정지출과 변동지출 항목별 금액은 적절한가? 줄일 수 있는 항목은 무엇이 있는가? 총소득 대비 ",financial_life_guide_young_adults_2026.pdf,11,14.819536,"현금흐름표 현금흐름표는 일정 기간(월 또는 연) 동안 개인 (가계)에게 발생한 자금의 흐름을 보 여 주는 표 입 니 다 . 왼 쪽에 는 유 입 된 모 든 금액 을 기 록하는데 , 유 형 별 소득뿐 아 니 라 대출받은 금액도 표기합니다 . 오른쪽에는 유출(지출)한 모든 금액을 기록하는데, 지 출은 고정지출과 변동지출로 나누어 표기하고, 저축과 투자한 금액도 적어야 합니 다. 그래서 왼쪽의 총유입 액과 오른쪽의 총유출액이 일치해야",financial_life_guide_young_adults_2026.pdf,19,14.094341,"2) 예산수립과 실행 과정 예산을 수립할 때는 다음과 같은 절차를 따르는 것이 좋습니다. 첫째, 근로소득, 사업소득, 재산소득 이전소득 등 예상되는 모든 소득을 파악합니다. 둘째, 기록해 놓 은 지출자료 등을 이용하여 현재의 모든 지출 현황을 파악합니다. 셋째, 현재의 지 출을 바탕으로 항목별 지출액을 예측합니다. 지출항목은 크게 고정지출, 변동지출, 저 축과 투자 로 구분한 후 세부 항목을 분류하는 것 이 좋습니 다 . 넷째"
G05,guides,"전세계약 만료가 다가오는데 묵시적 갱신과 계약갱신요구권은 무엇이 다르고, 계약을 끝내거나 갱신하려면 언제까지 의사를 알려야 하나요?",3,housing_lease_protection_guide_2020.pdf | standard_housing_lease_contract_2023.pdf,1,2,1,1.0,1,1.0,housing_lease_protection_guide_2020.pdf,22,10.305627,"22 I 「주택임대차보호법」 해설집 1 갱신요구 계약갱신요구권의 행사는 언제부터 할 수 있는지? (Q3 이외의 경우)Q1. 임차인에게 총 몇 회의 계약갱신요구권이 부여되는지?Q2. 예를 들어, ‘20.9.30일에 만료되는 임대차 계약의 경우 언제까지 계약갱신 요구권을 행사할 수 있는지?Q1-1. 임차인은 임대차계약의 임대차기간이 끝나기 6개월 전부터 1개월 전까 지 기간에 계약갱신요구권을 행사할 수 있습니다. 계약갱신요구권은 ",housing_lease_protection_guide_2020.pdf,25,8.742817,"25 개정 관련 FAQ 법 시행 당시 이미 한 주택에서 4년 이상 임차 거주 중인데, 계약갱신요구권을 행사할 수 있 는지?Q6. 행사할 수 있습니다. 개정법률은 최대 4년의 주거를 보장하는 내용이 아 니고, 1회에 한하여 기존의 계약을 2년 연장할 수 있도록 갱신요구권을 부여하는 것입니다. 묵시적 갱신도 갱신요구권 행사로 보는지?Q7. 그렇지 않습니다. 계약이 묵시적으로 갱신된 경우에는 갱신요구권 행사 로 보지 않습니다. 계약",standard_housing_lease_contract_2023.pdf,4,7.343751,"【묵시적 갱신 등】 ① 임대인은 임대차기간이 끝나기 6개월부터 2개월* 전까지, 임차인은 2개월 전까지 각 상대방에게 계약을 종료하겠다거나 조건을 변경하여 재계약을 하겠다는 취지의 통지를 하지 않으면 종전 임대차와 동일한 조건으로 자동 갱신됩니다. * 기존 규정은 1개월이고, ’20. 12. 10. 이후 최초로 체결되거나 갱신된 계약의 경우 2개월이 적용됩니다. ② 제1항에 따라 갱신된 임대차의 존속기간은 2년입니다. 이 경우"
C01,cases,"부산에서 취업이나 진학 때문에 서울 또는 다른 지역으로 이동한 청년들은 지역과 집을 어떤 기준으로 선택했고, 월세 부담이나 일자리 변화 때문에 다시 이동하거나 본가로 돌아간 사례도 있나요?",3,busan_youth_regional_migration_cases_2021.pdf,1,1,1,1.0,1,1.0,busan_youth_regional_migration_cases_2021.pdf,27,18.652376,"고 바다를 좋아하고 부산이 환경이 좋아서 이사 왔었다. ⦁ (H) 부산은 교육이 우수. 확실히 학구열이 출생지에 비해 높음(남해출신) 진 학과 관련하여 수도권만큼은 아니지만 여러 학원, 교육 시스템이 잘 갖춰져 있음. 다시 대학에 진학하게 될 경우 또다시 부산으로 진학을 고려할 수 있 음. 대학 진학 시 가장 먼저 고려한 부분이 특수 전공이었기 때문에 해양수 산분야 전공에 맞춰 대학에 진학할 것 같음 ⦁ (J) 대구에서 대학생",busan_youth_regional_migration_cases_2021.pdf,12,16.0566,"코 로 나 19 이 후 부 산 청 년 지 역 이 동 과 젠 더 차 별 164 3개월씩 개발회사 두 군데 다님. 답은 서울인가 하고 느꼈다. 두 번째 직장 에서 안 좋게 그만둠. 핑계였던 것 같은데, 코로나 때문에 더 이상 인력이 필요 없어졌다, 너가 제일 마지막에 들어왔고, 이 파트를 제일 먼저 정리할 거라고 하길래 바로 그만뒀다. 그러고 서울이나 가볼까 싶어 몇 군데 넣어서 지원한 회사에 바로 합격함. 서울에 3군데 넣음. ",youth_policy_access_interviews_2026.pdf,13,15.348967,"1) 청년의 일자리와 주거에 대한 인식 심층 인터뷰에 참여한 청년들은 일자리와 주거에 대한 문제를 분리하지 않고 함께 고려하여 결정하는 것으로 파악되었다. 청년이 일자리를 선택하는 데에 있어서 중요한 결정 요인 중 하나는 기존 연구들에서 제시한 것과 같이 본인이 희망하는 분야의 직업과 관련되어 있었다. 그렇지만 청년들은 이와 함께 일자리와 함께 거주지도 고민하는데, 본인이 희망하는 직업과 관련된 일자리를 위해 본래 거주 지역을"
C02,cases,"부모와 함께 살면서 독립을 미루고 있는 청년들은 어떤 이유로 자립을 어렵게 느꼈나요? 가족의 지원, 불안정한 소득과 주거 문제가 독립 결정에 어떤 영향을 주었는지 실제 경험을 알고 싶습니다.",3,transition_to_adulthood_independence_interviews_2022.pdf,1,1,1,1.0,1,1.0,transition_to_adulthood_independence_interviews_2022.pdf,17,16.99931,"Chapter 4. 성인 이행기 청년의 자립에 대한 당사자들의 목소리 | 145 성인으로의 전환을 망설이는 이유는 자립 조건의 미충족과 전통적 가족 형태 속에서 의무 가 부과되는 것을 부담스러워 하기 때문인 것으로 보인다. 둘째, 자립조건을 충족하는 것에 많은 청년들이 어려움을 느끼고 있고 자립 격차를 실질적으로 느끼고 있었다. 청년들은 자립조건을 채우고자 하는 욕구가 있으나, 이것이 좌절될 경우 많은 어려움을 토로하고 다음 ",youth_housing_job_access_interviews_2023.pdf,5,15.969752,"Chapter 4. 우리나라 청년의 목소리: 심층면접 | 145 개념 주요내용 심리적 독립 타인(부모)에게 의존하지 않고 판단하고 행동할 수 있는 능력 책임성 행동의 결과를 미리 예상하고 스스로 책임질 수 있는 능력 경제력 심리적 독립의 물질적 기반 직장(안정된 수입), 경제적 자립, 의식주의 자체해결 등 기타 성인기 기준으로 교육의 수준, 공동체 의식 등은 언급되지 않음 표 Ⅳ-3. 성인기 진입의 기준 구체적으로 살펴보면 조",youth_housing_job_access_interviews_2023.pdf,12,15.052952,있어요. 저는 거기에서 되게 긍정적인 영향을 많이 받 았던 것 같아요. 응답자1) 제가 공과대학을 나왔는데 대학원에서 저 혼자 여자다 보니 한 번씩 그런 게 느 껴질 때가 있더라고요. 실제로도 저를 따로 빼고 자기들 끼리 하고 그런 부분도 있고 은 근하게. 심지어 업무가 아니라 어떤 행사에 참여하는 거 였는데도 그랬죠. (중략) 사실 제가 말한다고 그들이 뭔가 개선하려는 의지는 없죠. 응답자2) 약대를 준비하는 많은 남학생들이
C03,cases,"혼자 사는 청년들은 실제 생활비를 계산할 때 월세 외에 관리비, 공과금, 식비, 교통비와 비정기지출을 어떻게 고려했고, 구직이나 소득 공백이 생겼을 때 어떤 부담을 겪었나요?",3,youth_one_person_household_living_cost_2022.pdf | youth_one_person_living_risk_interviews_2023.pdf,1,1,1,0.5,3,0.3333,youth_policy_access_interviews_2026.pdf,11,14.351886,"성과평가 “기본적으로는 어떤 강좌 수를 몇 개를 개설하고 커뮤니티를 몇 개를 운영하고. 이런 쪽은 수치는 나오는데 실제 이 수업 교육을 받은 청년들이 장기적으로 봤을 때 쉽게 지역에 얼마나 정착했는지, 장기적으로 실제. 어떻게 정착하는지나. 어떻게 연결되고 있는지는 미흡한 실정” (실무자A)“예산에 좀 초점이 좀 많이 맞춰져 있고 예산과 그 목표 그렇기 때문에 그 예상과 목표만 따라가다 보면은 좀 사업에 내의 적절성 그런 부분",transition_to_adulthood_independence_interviews_2022.pdf,15,11.222105,"Chapter 4. 성인 이행기 청년의 자립에 대한 당사자들의 목소리 | 143 청년VY: 어딘지 알아야 콜을 타고 가기라도 하죠” (VY, 27세, 여성, 장애를 가진 청년) 그녀가 사는 서울은 2022년 현재 우리나라에서 청년센터가 가장 많고 잘 운영되고 있는 지자체이다. 그녀를 포함한 장애를 가진 청년 4명은 모두 서울시청년센터 오랑을 이용해본 적도 없고 알지도 못한다고 이야기했다. 청년센터가 이들에게도 열린 공간으로 서",youth_one_person_household_living_cost_2022.pdf,2,10.407995,"점은 혼자 살면서도 부모 혹은 형제와도 교류가 없는 청년이 10명 가운데 한명꼴인 셈 이다. 더불어, 생활비 중, 청년 1인 가구는 부모 동거 가구에 비해 생활비 중 주거비의 부 담이 높은 것으로 나타났다. 전체 청년 가구의 월평균 생활비는 303만원이며, 식료품 비 96만원, 연금·보험료 32만원, 교통비 27만원 순으로 나타났다. 1인 가구의 경우, 월평균 생활비는 161만원이며, 식료품비 48만원, 주거비(월세) 22만원"
C04,cases,"취업 기회가 많은 수도권의 비싸고 좁은 집과 주거비가 낮은 지방 사이에서 청년들은 어떻게 선택했나요? 월세뿐 아니라 통근시간, 교통비와 원하는 일자리 접근성을 함께 비교한 경험이 궁금합니다.",3,youth_housing_job_access_interviews_2023.pdf,1,1,1,1.0,1,1.0,youth_housing_job_access_interviews_2023.pdf,16,14.294983,"156 | 청년 사회 첫 출발 실태 및 정책방안 연구 Ⅲ: 시민권과 참여-총괄보고서 4) 주거 영역에 대한 인식과 정책 수요 청년들의 주거에 대한 인식과 정책수요를 알아보기 위해서 청년들이 생각하는 주거 조건의 우선순위, 주거에 관한 청년 정책에 대한 인식과 요구를 질문했다. 아래 도표는 이들 질문에 대한 청년들의 답변에서 출현한 어휘의 빈도분석 결과를 워드 클라우드로 나타낸 것이다. 그림 Ⅳ-4. 주거 영역에 대한 워드 클라",transition_to_adulthood_independence_interviews_2022.pdf,17,11.737399,"Chapter 4. 성인 이행기 청년의 자립에 대한 당사자들의 목소리 | 145 성인으로의 전환을 망설이는 이유는 자립 조건의 미충족과 전통적 가족 형태 속에서 의무 가 부과되는 것을 부담스러워 하기 때문인 것으로 보인다. 둘째, 자립조건을 충족하는 것에 많은 청년들이 어려움을 느끼고 있고 자립 격차를 실질적으로 느끼고 있었다. 청년들은 자립조건을 채우고자 하는 욕구가 있으나, 이것이 좌절될 경우 많은 어려움을 토로하고 다음 ",busan_youth_regional_migration_cases_2021.pdf,16,10.685726,"코 로 나 19 이 후 부 산 청 년 지 역 이 동 과 젠 더 차 별 168 없으니까 시장이 죽는 듯하다. 활발하지 않고 소비가 늘지 않고, 이동 줄기 에 매출 준다. 다양한 곳에 지원할 수 있었던 예전과 달리 자연스레 공채 수시 줄고 면접기회나 지원기회 없다. 기업에서 사람 보는 기준도 높아졌다. 취업도 트렌드가 바뀐다. 예전에는 토익이나 토스처럼 객관적 지표 있으면 중소기업에 들어갈 수 있었으나, 코로나 이후에는 신입 뽑는"
C05,cases,"지원정책을 잘 모르던 청년들은 실제로 어디서 정책 정보를 처음 알게 되었고, 홈페이지나 신청 과정에서 무엇이 헷갈려 포기하거나 어려움을 겪었나요? 지인이나 담당자의 도움을 받은 경험도 알고 싶습니다.",3,youth_policy_access_interviews_2026.pdf,1,1,1,1.0,2,0.5,youth_one_person_living_risk_interviews_2023.pdf,59,19.6341,"중 다수는 여가 및 문화 활동 정책 지원과 관련하여 현재의 정책들이 일부 경제적 취약계층에 한정되어 있는 점을 한계로 지적하고 참여 대상을 확대해야 한다는 의견을 보인 반면, 다른 일부 참여자들은 청년 대상 지원이 차등적으로 이루어져야 한다고 인식했다.6) 심층면담을 통한 정책적 시사점 심층면담에 참여한 청년들 다수는 신체적으로 건강하다고 인식했다. 유전적 질환이나 지병이 있지 않은 이상, 20대와 30대 초반 청년들은 신체적",youth_policy_access_interviews_2026.pdf,13,16.47265,"심층 인터뷰에 응한 청년들은 정책사업에 참여하기 전에 일반적인 정책을 포함한 청년정책에 관해 관심이 없었다고 언급하였다. 정책이나 청년정책에 관심이 없었던 이유로는 ‘나와는 상관이 없는’과 같이, 정책대상자이지만 자신과의 관련성을 높이 평가하지 않은 것으로 이해된다. 그리고 청년들은 참여를 지원한 후 실제 지원을 받는 과정에서 청년 정책사업의 구체적인 내용을 알게 되었으며, 지원을 받은 혜택으로 인해 긍정적으로 인식하게 된 것",youth_policy_access_interviews_2026.pdf,16,15.086251,"- 59 - 4) 현재 청년 정책사업의 소통 방식에 대한 평가 심층 인터뷰에 참여한 청년들은 현재의 청년 정책사업과 관련된 소통방식에 대해 다소 불편한 점이 있는 것으로 파악되었다. 먼저는 소통 채널의 접근성이 낮은 것으로 인식하였다. 청년들은 본인의 취업과 관련하여 문제를 인식하였을 때 포털사이트나 취업과 관련된 전문 웹 페이지(예: 사람인, 잡코리아 등)을 이용하지만, 일자리나 취창업과 관련된 청년 정책사업과 관련된 공공기"
